UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_diff,Wear_per_torque,time_index,failure_event
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,1.00418410041841,0,False
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,0.654627539503386,0,False
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,0.9174311926605505,0,False
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,1.3583138173302107,0,False
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,3.130081300813008,0,False
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,2.0907297830374754,0,False
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,2.4742268041237114,0,False
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,2.504638218923933,0,False
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,3.356164383561644,0,False
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,4.172335600907029,0,False
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,0.08016032064128256,0,False
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,0.45558086560364464,0,False
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,2.293577981651376,0,False
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,1.9310344827586208,0,False
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,3.1291028446389495,0,False
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,3.0364372469635628,0,False
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,3.2475247524752477,0,False
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,4.81994459833795,0,False
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,10.0,0,False
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,4.735632183908046,0,False
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,0.3067484662576687,0,False
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,0.34965034965034963,0,False
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,2.024793388429752,0,False
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,1.4671814671814674,0,False
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,2.3410404624277454,0,False
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,1.8383838383838385,0,False
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,2.4574669187145557,0,False
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000023,6.296296296296296,0,False
267,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,10.100000000000023,0.8466819221967963,0,False
269,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,10.100000000000023,1.7741935483870968,0,False
271,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,10.0,1.2878787878787878,0,False
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,10.0,1.3806706114398422,0,False
289,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,10.199999999999989,2.3222748815165875,0,False
294,H29707,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,10.399999999999977,2.4776785714285716,0,False
299,H29712,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,10.600000000000023,6.737967914438503,0,False
303,H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,10.599999999999966,3.9316239316239314,0,False
311,H29724,H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0,10.600000000000023,3.8277511961722492,0,False
321,H29734,H,297.8,308.4,1550,38.2,185,0,0,0,0,0,0,10.599999999999966,4.842931937172774,0,False
